,markdown_content,preprocessed_markdown
97,"['**stacking\n', '**']",stack
98,"['\n', 'Stacking is a similar to boosting:\n', '\n', ""you also apply several models to your original data. The difference here is, however, that you don't have just an empirical formula for your weight function, rather you introduce a meta-level and use another model/approach to estimate the input together with outputs of every model to estimate the weights or, in other words, to determine what models perform well and what badly given these input data. and finally I get its true illustration.""]",stack similar boost also appli sever model origin data differ howev empir formula weight function rather introduc meta level use anoth model approach estim input togeth output everi model estim weight word determin model perform well badli given input data final get true illustr
99,"['consider we have a dataset we splite our data set into 3 parts : training, validation , test']",consid dataset splite data set 3 part train valid test
100,['![Imgur](https://i.imgur.com/EQYa8C8.png)'],imgur http imgur com eqya8c8 png
101,['then make this step'],make step
102,['![Imgur](https://i.imgur.com/fVazCYe.png)'],imgur http imgur com fvazcy png
103,['![Imgur](https://i.imgur.com/2zjxVBC.png)'],imgur http imgur com 2zjxvbc png
104,['![Imgur](https://i.imgur.com/lpDhGd1.png)'],imgur http imgur com lpdhgd1 png
105,"['train algorythm 0 on **A** and make predictions for **B** and **C** and save to **B1,C1**\n', '\n', 'train algorythm 1 on **A** and make predictions for **B** and **C** and save to **B1,C1**']",train algorythm 0 make predict b c save b1 c1 train algorythm 1 make predict b c save b1 c1
106,['![Imgur](https://i.imgur.com/10slay8.png)'],imgur http imgur com 10slay8 png
107,['**At this moment we stacked predictions to each others thats where stacking name comes from** and then'],moment stack predict other that stack name come
108,"['train algorythm 2 on **A** and make predictions for **B** and **C** and save to **B1,C1**']",train algorythm 2 make predict b c save b1 c1
109,['![Imgur](https://i.imgur.com/hfp6JGP.png)'],imgur http imgur com hfp6jgp png
110,"['then we take the data from the validation set which we already knew and we are going to feed a new model .\n', '\n', 'train algorythm 3 on **B1** and make predictions for **C1**']",take data valid set alreadi knew go feed new model train algorythm 3 b1 make predict c1
111,['![Imgur](https://i.imgur.com/md3L8yB.png)'],imgur http imgur com md3l8yb png
112,['**Code in python**'],code python
113,['![Imgur](https://i.imgur.com/bfb2qlr.png)'],imgur http imgur com bfb2qlr png
114,['![Imgur](https://i.imgur.com/Bo4KItc.png)'],imgur http imgur com bo4kitc png
115,['![Imgur](https://i.imgur.com/hGkZd9T.png)'],imgur http imgur com hgkzd9t png
116,['I hope that I give you a piece of introduction of ensembling methods and this is not the end of my tutorial but this is only the first episode and I will continue soon illustrating the remaining methods of ensemlbing techniques.\n'],hope give piec introduct ensembl method end tutori first episod continu soon illustr remain method ensemlb techniqu
117,"['resources :\n', '\n', '\n', '[Google](https://www.google.com/webhp?hl=en&sa=X&ved=0ahUKEwiU0c_cgOLhAhUjQxUIHfetDCwQPAgH)\n', '    \n', '\n', '[Analytics videa](https://www.analyticsvidhya.com/)\n', '    \n', '\n', '[youtube](https://www.youtube.com/)\n', '    \n', '\n', '[wikipedia](https://www.wikipedia.org/)\n', '    \n', '  \n', '  \n', '  and a lot of other resources .\n', '    thanks a lot.']",resourc googl http www googl com webhp hl en sa x ved 0ahukewiu0c cgolhahujqxuihfetdcwqpagh analyt videa http www analyticsvidhya com youtub http www youtub com wikipedia http www wikipedia org lot resourc thank lot
118,"[""The data looks like it has had Principal Component Analysis applied to it, since each feature looks near Gaussian. Let's generate some data to see what PCA looks like on generated continuous and categorical data, and compare some plots to the Santander data.\n"", '\n', ""**Update**: CPMP suggested Truncated SVD, so we'll explore that too (https://www.kaggle.com/c/santander-customer-transaction-prediction/discussion/87301#503701)""]",data look like princip compon analysi appli sinc featur look near gaussian let gener data see pca look like gener continu categor data compar plot santand data updat cpmp suggest truncat svd explor http www kaggl com c santand custom transact predict discus 87301 503701
119,"['# Create random data\n', ""Let's create 1000 random variables which are correlated""]",creat random data let creat 1000 random variabl correl
120,['# PCA on continuous variables'],pca continu variabl
121,"[""Let's have a look at the distributions and cross plots""]",let look distribut cross plot
122,['# Truncated SVD on continuous variables'],truncat svd continu variabl
123,"['# PCA on categorical variables\n', ""Let's convert our continuous dataset to a discrete/categorical dataset by rounding to the nearest 100. Then see what the transformed data looks like""]",pca categor variabl let convert continu dataset discret categor dataset round nearest 100 see transform data look like
124,['So now there should only be a handful of categories per feature'],hand categori per featur
